term,tag,value
оклад,NEUT,0.46
оклеветать,NGTV,-1.0
оклеивать,NEUT,0.1
оклеить,NEUT,0.04
оклейка,NEUT,0.0
оклематься,PSTV,0.65
оклик,NEUT,0.0
окликать,NEUT,0.0
окликнуть,NEUT,0.0
окно,NEUT,0.12
око,NEUT,0.34
оковать,NGTV,-0.42
оковы,NGTV,-0.76
околачивать,NEUT,-0.29
околачиваться,NGTV,-0.64
околдовать,NEUT,-0.26
околдовывать,NGTV,-0.37
околесица,NGTV,-0.69
околеть,NGTV,-0.99
околица,NEUT,0.0
окололитературный,NEUT,-0.07
околосердечный,NEUT,0.33
околосолнечный,NEUT,0.08
окольный,NEUT,0.0
окольцевать,NEUT,-0.01
оконечность,NEUT,0.0
оконечный,NEUT,0.0
оконный,NEUT,0.0
оконфузиться,NGTV,-1.0
оконце,NEUT,0.31
окончание,NEUT,0.22
окончательность,NEUT,0.02
окончательный,NEUT,0.21
окончить,NEUT,0.29
окончиться,NEUT,-0.11
окоп,NEUT,0.0
окопать,NEUT,0.0
окопный,NEUT,0.05
окорочок,NEUT,0.38
окостеневать,NGTV,-0.46
окостенелость,NEUT,-0.31
окостенение,NGTV,-0.41
окостенеть,NGTV,-0.87
окотиться,NEUT,0.42
окоченелость,NGTV,-0.7
окоченелый,NGTV,-0.64
окоченение,NGTV,-0.77
окоченеть,NGTV,-0.86
окочуриться,NGTV,-1.0
окошечко,NEUT,0.43
окошко,NEUT,0.24
окраина,NEUT,0.0
окраинный,NEUT,0.0
окрас,NEUT,0.0
окрасить,NEUT,0.37
окраситься,NEUT,0.2
окраска,NEUT,0.0
окрашенность,NEUT,0.18
окрашивание,NEUT,0.28
окрашивать,NEUT,0.08
окрашиваться,NEUT,0.0
окрепнуть,PSTV,1.0
окрестить,NEUT,0.24
окреститься,NEUT,0.32
окрестность,NEUT,0.0
окрестный,NEUT,0.06
окриветь,NGTV,-0.96
окрик,NEUT,-0.04
окрикнуть,NEUT,-0.23
окровавить,NGTV,-1.0
окрошка,NEUT,0.52
округление,NEUT,0.0
округлить,NEUT,0.0
округлиться,NEUT,0.0
округлость,NEUT,0.0
округлый,NEUT,0.0
округлять,NEUT,0.09
округляться,NEUT,0.0
округлённость,NEUT,0.1
окружать,NEUT,0.0
окружающий,NEUT,0.0
окружение,NEUT,0.0
окружить,NEUT,0.0
окружность,NEUT,0.0
окружный,NEUT,0.08
окрутить,NGTV,-0.52
окрылить,PSTV,1.0
окрылиться,PSTV,0.92
окрылять,PSTV,1.0
окрыляться,PSTV,1.0
оксид,NEUT,0.04
оксюморон,NEUT,-0.08
октава,NEUT,0.1
октябрист,NEUT,0.36
октябрь,NEUT,0.09
октябрьский,NEUT,0.0
октябрёнок,PSTV,0.6
окукливаться,NEUT,0.17
окулист,NEUT,0.44
окультуривание,PSTV,0.93
окуляр,NEUT,0.0
окунание,NEUT,0.0
окунать,NEUT,0.0
окунаться,NEUT,0.19
окунуть,NEUT,0.0
окунуться,NEUT,0.24
окунь,NEUT,0.22
окунёк,NEUT,0.53
окупаемость,PSTV,0.84
окупать,PSTV,0.55
окупаться,PSTV,0.66
окупить,NEUT,0.52
окупиться,PSTV,0.92
окурить,NEUT,-0.33
окутать,NEUT,0.42
окутаться,NEUT,0.29
окутывать,NEUT,0.07
окутываться,NEUT,0.2
окучивание,NEUT,0.24
окучивать,NEUT,0.33
окучить,NEUT,0.21
оладья,PSTV,0.7
оледенение,NEUT,-0.3
оледенеть,NGTV,-0.58
оленевод,NEUT,0.2
оленеводство,NEUT,0.38
оленеводческий,NEUT,0.2
олений,NEUT,0.07
оленина,NEUT,0.0
олениха,NEUT,0.29
олень,NEUT,0.32
оленёнок,PSTV,0.83
олива,NEUT,0.35
оливка,NEUT,0.33
оливковый,NEUT,0.0
оливье,PSTV,0.58
олигарх,NEUT,-0.25
олигархический,NEUT,-0.29
олигархия,NGTV,-0.42
олимпиада,NEUT,0.51
олимпиец,PSTV,0.72
олимпийка,NEUT,0.19
олимпийский,NEUT,0.53
олицетворение,NEUT,0.18
олицетворить,NEUT,0.28
олицетворять,NEUT,0.28
олово,NEUT,0.0
оловянный,NEUT,0.0
олух,NGTV,-1.0
ольха,NEUT,0.0
омар,NEUT,0.31
омерзение,NGTV,-1.0
омерзительность,NGTV,-1.0
омерзительный,NGTV,-1.0
омертвелость,NGTV,-1.0
омертвелый,NGTV,-0.78
омертвение,NGTV,-0.96
омертветь,NGTV,-1.0
омертвление,NGTV,-0.9
омлет,NEUT,0.47
омолаживание,PSTV,0.92
омолаживать,PSTV,0.89
омолаживаться,PSTV,0.88
омолодить,PSTV,1.0
омолодиться,PSTV,0.96
омоложение,PSTV,0.89
омоним,NEUT,0.17
омочить,NEUT,-0.2
омрачать,NGTV,-1.0
омрачаться,NGTV,-1.0
омрачение,NGTV,-1.0
омрачить,NGTV,-1.0
омрачиться,NGTV,-0.96
омский,NEUT,0.0
омут,NGTV,-0.37
омывать,NEUT,0.26
омываться,NEUT,0.29
омыть,NEUT,0.21
омыться,NEUT,0.52
онанирование,NGTV,-0.37
ондатра,NEUT,0.0
ондатровый,NEUT,0.0
онемелость,NGTV,-0.98
онемелый,NGTV,-0.45
онемение,NGTV,-0.66
онеметь,NGTV,-0.62
онколог,NEUT,0.46
онкологический,NGTV,-0.78
онкология,NGTV,-0.86
онкоцентр,NEUT,-0.16
опадание,NEUT,-0.07
опадать,NEUT,-0.19
опаздывать,NGTV,-0.9
опаивание,NGTV,-0.65
опаивать,NGTV,-0.71
опал,NEUT,-0.16
опаливать,NEUT,-0.27
опалить,NEUT,-0.32
опалиться,NGTV,-0.77
опаловый,NEUT,0.1
опалять,NEUT,-0.33
опарыш,NEUT,-0.22
опасаться,NGTV,-0.92
опасение,NGTV,-0.73
опаска,NGTV,-0.67
опасливость,NEUT,-0.33
опасливый,NGTV,-0.44
опаснейший,NGTV,-1.0
опасность,NGTV,-1.0
опасный,NGTV,-1.0
опасть,NEUT,-0.34
опека,PSTV,0.66
опекать,PSTV,0.97
опекун,PSTV,0.56
опекунский,NEUT,0.28
опекунство,PSTV,0.71
опекунша,NEUT,0.45
оперативка,NEUT,0.3
оперативник,NEUT,0.35
оперативность,PSTV,0.74
оперативный,PSTV,0.61
оператор,NEUT,0.02
операторский,NEUT,0.15
операционка,NEUT,0.03
операционный,NEUT,0.0
операция,NEUT,0.18
опергруппа,NEUT,0.2
опередить,NEUT,0.52
опережать,PSTV,0.55
опережение,NEUT,0.54
оперение,NEUT,0.05
оперетта,PSTV,0.55
опереть,NEUT,0.27
опереться,NEUT,0.4
оперирование,NEUT,0.02
оперировать,NEUT,0.0
опериться,NEUT,0.5
оперный,NEUT,0.29
оперотряд,NEUT,0.3
оперуполномоченный,NEUT,0.12
опечалить,NGTV,-1.0
опечалиться,NGTV,-1.0
опечатать,NEUT,-0.33
опечатка,NGTV,-0.77
опечатывание,NGTV,-0.35
опечатывать,NGTV,-0.41
опешить,NGTV,-0.46
опиатный,NGTV,-0.48
опий,NGTV,-0.68
опилка,NEUT,0.0
опираться,NEUT,0.25
описание,NEUT,0.36
описатель,NEUT,0.06
описательный,NEUT,0.0
описать,NEUT,0.0
описаться,NGTV,-0.9
описка,NGTV,-0.5
описывать,NEUT,0.0
описываться,NEUT,-0.3
опись,NEUT,0.0
оплавить,NEUT,0.0
оплакать,NGTV,-0.91
оплакивание,NGTV,-0.89
оплакивать,NGTV,-0.9
оплата,NEUT,0.1
оплатить,NEUT,0.16
оплачивать,NEUT,0.0
оплевать,NGTV,-0.98
оплести,NEUT,0.1
оплетать,NEUT,-0.06
оплеуха,NGTV,-1.0
оплодотворить,PSTV,0.62
оплодотворять,NEUT,0.28
оплодотворяться,NEUT,0.46
оплошать,NGTV,-1.0
оплошность,NGTV,-1.0
оплывать,NEUT,-0.05
оплыть,NEUT,-0.19
оплёвывать,NGTV,-0.97
оповестить,NEUT,0.37
оповещать,NEUT,0.47
оповещение,NEUT,0.0
опоганить,NGTV,-1.0
опоздание,NGTV,-1.0
опоздать,NGTV,-0.79
опознавание,NEUT,0.28
опознавательный,PSTV,0.55
опознавать,NEUT,0.07
опознание,NEUT,0.0
опознать,NEUT,0.18
опозорить,NGTV,-1.0
опозориться,NGTV,-1.0
опоить,NGTV,-0.8
ополаскивание,NEUT,0.23
ополаскиватель,NEUT,0.31
ополаскивать,NEUT,0.29
оползать,NEUT,0.2
оползень,NGTV,-0.7
оползневый,NGTV,-0.44
ополовинить,NGTV,-0.36
ополоснуть,NEUT,0.16
ополоуметь,NGTV,-0.9
ополчаться,NGTV,-0.91
ополченец,NEUT,-0.22
ополчение,NGTV,-0.36
ополчиться,NGTV,-0.86
опомниться,NEUT,0.46
опор,NEUT,0.23
опорный,NEUT,0.41
опорожнение,NEUT,-0.21
опорожнить,NEUT,-0.11
опорожниться,NGTV,-0.45
опорожнять,NEUT,-0.14
опорожняться,NEUT,-0.32
опорочивать,NGTV,-1.0
опорочить,NGTV,-1.0
опоссум,NEUT,0.0
опохмелиться,NGTV,-0.76
опохмеляться,NGTV,-0.59
опошление,NGTV,-1.0
опошливание,NGTV,-0.95
опошлить,NGTV,-0.87
опошлять,NGTV,-1.0
опошляться,NGTV,-1.0
опоясать,NEUT,0.0
опоясаться,NEUT,0.0
опоясывать,NEUT,0.11
опоясываться,NEUT,0.12
оппозиционер,NGTV,-0.38
оппозиционность,NEUT,-0.34
оппозиционный,NGTV,-0.38
оппозиция,NEUT,-0.02
оппонент,NGTV,-0.43
оппонентка,NEUT,-0.19
оправа,NEUT,0.23
оправдание,NEUT,0.35
оправданность,NEUT,0.51
оправданный,PSTV,0.86
оправдательный,PSTV,0.57
оправдать,PSTV,0.58
оправдаться,NEUT,-0.34
оправдывать,NEUT,0.42
оправдываться,NGTV,-0.49
оправить,NEUT,0.0
оправиться,PSTV,0.83
оправлять,NEUT,0.35
оправляться,PSTV,0.61
опрашивать,NEUT,0.0
определение,NEUT,0.07
определитель,NEUT,0.0
определить,NEUT,0.37
определиться,NEUT,0.38
определять,NEUT,0.0
определяться,NEUT,0.28
определённость,PSTV,0.79
определённый,NEUT,0.36
опредмечивание,NEUT,-0.13
опрелость,NGTV,-0.92
опреснение,NEUT,0.25
опреснитель,NEUT,-0.08
опреснительный,NEUT,0.08
оприходование,NEUT,-0.33
оприходовать,NGTV,-0.47
опричник,NEUT,-0.34
опричнина,NGTV,-0.47
опробование,NEUT,0.24
опробовать,NEUT,0.43
опровергать,NGTV,-0.41
опровергнуть,NGTV,-0.36
опровержение,NEUT,-0.25
опрокидывание,NGTV,-0.45
опрокидывать,NGTV,-0.5
опрокидываться,NGTV,-0.44
опрокинуть,NGTV,-0.6
опрокинуться,NGTV,-0.54
опрометчивость,NGTV,-0.9
опрометчивый,NGTV,-0.97
опрос,NEUT,0.0
опросить,NEUT,0.0
опросник,NEUT,0.15
опросный,NEUT,0.0
опростоволоситься,NGTV,-1.0
опротестование,NGTV,-0.35
опротестовать,NGTV,-0.4
опротестовывать,NGTV,-0.42
опротиветь,NGTV,-1.0
опрыскать,NEUT,-0.03
опрыскивание,NEUT,0.06
опрыскиватель,NEUT,0.04
опрыскивать,NEUT,0.06
опрятность,PSTV,1.0
опрятный,PSTV,1.0
опт,NEUT,0.22
оптимальность,PSTV,0.9
оптимальный,PSTV,0.69
оптимизатор,PSTV,0.58
оптимизация,PSTV,1.0
оптимизм,PSTV,1.0
оптимист,PSTV,1.0
оптимистически,PSTV,1.0
оптимистический,PSTV,1.0
оптимистичный,PSTV,1.0
оптимистка,PSTV,1.0
оптический,NEUT,0.0
оптовик,NEUT,0.1
оптовый,NEUT,0.17
опубликование,NEUT,0.28
опубликовать,NEUT,0.11
опубликовывать,NEUT,0.29
опупение,NGTV,-0.51
опускание,NGTV,-0.45
опускать,NEUT,-0.06
опускаться,NGTV,-0.36
опустелый,NGTV,-0.67
опустение,NGTV,-0.72
опустеть,NGTV,-0.66
опустить,NEUT,-0.2
опуститься,NEUT,-0.34
опустошать,NGTV,-0.63
опустошение,NGTV,-0.78
опустошитель,NGTV,-0.93
опустошительный,NGTV,-1.0
опустошить,NGTV,-0.65
опустошённость,NGTV,-1.0
опустынивание,NGTV,-0.79
опутать,NGTV,-0.68
опутывать,NGTV,-0.42
опухание,NGTV,-1.0
опухать,NGTV,-1.0
опухлость,NGTV,-0.82
опухнуть,NGTV,-1.0
опухолевый,NGTV,-0.9
опушка,NEUT,0.25
опущение,NGTV,-0.71
опция,NEUT,0.14
опыление,PSTV,0.55
опылитель,NEUT,0.29
опылить,NEUT,0.4
опылять,NEUT,0.5
опыляться,NEUT,0.48
опыт,PSTV,0.83
опытнейший,PSTV,1.0
опытность,PSTV,1.0
опытный,PSTV,1.0
опьянеть,NGTV,-0.77
опьянить,NGTV,-0.83
опьянять,NGTV,-0.61
опьяняюще,NEUT,0.28
опять,NEUT,-0.13
опять-таки,NEUT,0.03
опёнок,NEUT,0.28
ор,NGTV,-0.55
орава,NEUT,-0.23
оракул,NEUT,0.14
орангутан,NEUT,0.13
орангутанг,NEUT,0.04
оранжевый,NEUT,0.04
оранжерейный,NEUT,0.12
оранжерея,NEUT,0.43
оратор,NEUT,0.31
ораторский,NEUT,0.45
ораторство,NEUT,0.25
ораторствовать,NEUT,0.04
орать,NGTV,-0.9
орбита,NEUT,0.19
орбитальный,NEUT,0.0
орган,NEUT,0.24
органайзер,NEUT,0.23
организатор,NEUT,0.43
организаторский,PSTV,0.58
организационный,NEUT,0.45
организация,NEUT,0.24
организм,NEUT,0.22
организованность,PSTV,0.91
организовать,NEUT,0.54
организоваться,PSTV,0.64
организовывать,NEUT,0.42
организовываться,PSTV,0.61
органист,NEUT,0.25
органически,NEUT,0.29
органический,NEUT,0.39
органичность,PSTV,0.63
органичный,PSTV,0.6
оргкомитет,NEUT,0.0
оргпреступность,NGTV,-0.92
оргстекло,NEUT,0.0
оргтехника,NEUT,0.19
орда,NGTV,-0.38
орден,PSTV,0.63
орденоносец,PSTV,0.74
орденский,PSTV,0.55
ордер,NEUT,0.2
ординарность,NEUT,0.21
ординарный,NEUT,0.25
ординаторская,NEUT,0.13
ординатура,NEUT,0.41
ордынцы,NGTV,-0.37
ореол,NEUT,0.15
орех,NEUT,0.34
ореховый,NEUT,0.03
орешек,NEUT,0.44
орешник,NEUT,0.25
оригами,NEUT,0.38
оригинал,PSTV,0.59
оригинальничать,PSTV,0.7
оригинальность,PSTV,1.0
оригинальный,PSTV,0.84
ориентация,NEUT,0.1
ориентир,NEUT,0.33
ориентирование,NEUT,0.23
ориентированность,NEUT,0.22
ориентировать,NEUT,0.42
ориентироваться,NEUT,0.54
ориентировка,NEUT,0.36
ориентировочный,NEUT,0.17
орк,NGTV,-0.53
оркестр,PSTV,0.55
оркестрант,NEUT,0.31
оркестранты,NEUT,0.14
оркестрик,NEUT,0.24
оркестровый,NEUT,0.13
орлиный,NEUT,0.43
орлица,NEUT,0.3
орлёнок,PSTV,0.58
орнамент,NEUT,0.36
орнаментальный,NEUT,0.06
орнитолог,NEUT,0.06
орнитологический,NEUT,-0.02
оробеть,NGTV,-0.57
оросительный,NEUT,0.29
оросить,NEUT,0.22
орошать,NEUT,0.45
орошаться,NEUT,0.26
орошение,NEUT,0.46
ортопед,NEUT,0.14
ортопедический,NEUT,0.32
орудие,NGTV,-0.43
орудийный,NEUT,0.08
орудовать,NEUT,0.01
оружейник,NEUT,0.0
оружейный,NEUT,-0.15
оруженосец,NEUT,0.13
оружие,NGTV,-0.68
орфограмма,NEUT,0.02
орфографический,NEUT,0.06
орфография,NEUT,0.54
орхидея,NEUT,0.46
орёл,NEUT,0.11
оса,NEUT,-0.24
осада,NGTV,-0.91
осадить,NGTV,-0.56
осадный,NGTV,-0.36
осадочный,NEUT,-0.22
осаждать,NGTV,-0.58
осаждение,NGTV,-0.95
осаживать,NEUT,-0.32
осанка,PSTV,0.55
осатанеть,NGTV,-1.0
осваивание,PSTV,0.96
осваивать,PSTV,1.0
осваиваться,PSTV,0.61
осведомитель,NEUT,0.25
осведомительница,NEUT,0.1
осведомительный,NEUT,0.43
осведомить,NEUT,0.31
осведомиться,NEUT,0.42
осведомление,NEUT,0.48
осведомлять,NEUT,0.0
осведомляться,NEUT,0.46
осведомлённость,PSTV,0.73
осведомлённый,PSTV,1.0
освежать,PSTV,0.92
освежаться,PSTV,1.0
освежающе,PSTV,1.0
освежевать,NEUT,0.34
освежение,PSTV,1.0
освежитель,PSTV,0.58
освежительный,PSTV,1.0
освежить,PSTV,0.86
освежиться,PSTV,1.0
осветитель,NEUT,0.49
осветительный,NEUT,0.53
осветить,PSTV,0.66
осветиться,PSTV,0.56
осветление,PSTV,0.56
осветлить,PSTV,0.6
осветлять,PSTV,0.65
освещать,PSTV,0.62
освещаться,PSTV,0.58
освещение,NEUT,0.38
освещённость,NEUT,0.47
освидетельствование,NEUT,0.0
освидетельствовать,NEUT,0.39
освистать,NGTV,-0.8
освистывать,NGTV,-0.86
освободитель,PSTV,1.0
освободительница,PSTV,1.0
освободительный,PSTV,1.0
освободить,PSTV,1.0
освободиться,PSTV,1.0
освобождать,PSTV,0.77
освобождаться,PSTV,0.97
освобождение,PSTV,0.9
освоение,PSTV,0.79
освоить,PSTV,0.9
освоиться,PSTV,0.87
освятить,PSTV,0.96
освящать,PSTV,0.77
освящение,PSTV,0.62
осевой,NEUT,0.1
оседание,NEUT,0.0
оседать,NEUT,0.0
оседлать,NEUT,0.23
оседлость,NEUT,0.08
оседлый,NEUT,0.18
осекаться,NGTV,-0.55
осеменять,NEUT,0.28
осенение,PSTV,1.0
осенить,PSTV,0.8
осенний,NEUT,0.0
осень,NEUT,0.14
осенять,PSTV,0.8
осердиться,NGTV,-0.95
осерчать,NGTV,-1.0
осесть,NEUT,0.0
осетрина,NEUT,0.0
осечка,NGTV,-0.83
осечь,NGTV,-0.43
осечься,NGTV,-0.85
осиливать,PSTV,0.78
осилить,PSTV,0.91
осинка,NEUT,0.26
осиновый,NEUT,0.0
осиный,NEUT,0.0
осиплость,NGTV,-0.75
осиплый,NGTV,-0.51
осипнуть,NGTV,-0.79
осиротеть,NGTV,-1.0
осиротить,NGTV,-1.0
оскал,NGTV,-1.0
оскаливать,NGTV,-0.92
оскаливаться,NGTV,-1.0
оскалить,NGTV,-1.0
оскалиться,NGTV,-1.0
оскальзываться,NGTV,-0.54
оскандалиться,NGTV,-0.92
осквернение,NGTV,-1.0
осквернитель,NGTV,-1.0
осквернить,NGTV,-1.0
оскверниться,NGTV,-1.0
осквернять,NGTV,-1.0
оскверняться,NGTV,-1.0
осколок,NGTV,-0.35
осколочек,NEUT,-0.14
осколочный,NEUT,-0.26
оскользнуться,NGTV,-0.66
оскорбитель,NGTV,-0.94
оскорбительница,NGTV,-1.0
оскорбительность,NGTV,-1.0
оскорбительный,NGTV,-1.0
оскорбить,NGTV,-1.0
оскорбиться,NGTV,-1.0
оскорбление,NGTV,-1.0
оскорблять,NGTV,-1.0
оскорбляться,NGTV,-1.0
оскудевать,NGTV,-0.99
оскудение,NGTV,-1.0
оскудеть,NGTV,-0.95
ослабевать,NGTV,-0.63
ослабелый,NGTV,-0.65
ослабеть,NGTV,-1.0
ослабить,NGTV,-0.36
ослабиться,NGTV,-0.55
ослабление,NGTV,-0.64
ослабленность,NGTV,-0.9
ослаблять,NEUT,-0.14
ослабляться,NGTV,-0.56
ослабнуть,NGTV,-0.73
ославить,NEUT,0.53
ослепительность,PSTV,0.97
ослепительный,PSTV,0.9
ослепить,NGTV,-0.59
ослепление,NGTV,-0.89
ослеплять,NGTV,-0.56
ослепнуть,NGTV,-1.0
ослик,PSTV,0.84
ослиный,NGTV,-0.42
ослица,NEUT,0.12
осложнение,NGTV,-1.0
осложнить,NGTV,-0.8
осложниться,NGTV,-0.7
осложнять,NGTV,-0.81
осложняться,NGTV,-0.74
ослушание,NGTV,-1.0
ослушаться,NGTV,-0.94
ослышаться,NEUT,-0.17
ослёнок,NEUT,0.54
османский,NEUT,0.04
осматривание,NEUT,0.0
осматривать,NEUT,0.21
осматриваться,NEUT,0.13
осмеивать,NGTV,-1.0
осмелеть,PSTV,1.0
осмеливаться,PSTV,0.9
осмелиться,PSTV,0.83
осмеяние,NGTV,-1.0
осмеять,NGTV,-0.92
осмотр,NEUT,0.12
осмотреть,NEUT,0.0
осмотреться,NEUT,0.26
осмотрительность,PSTV,0.8
осмотрительный,PSTV,0.75
осмысление,NEUT,0.54
осмысленность,PSTV,0.92
осмысленный,PSTV,0.91
осмысливание,PSTV,0.6
осмысливать,PSTV,0.58
осмыслить,PSTV,0.88
осмыслять,PSTV,0.72
оснастить,NEUT,0.49
оснащать,NEUT,0.48
оснащение,NEUT,0.34
оснащённость,PSTV,0.6
основа,NEUT,0.43
основание,NEUT,0.29
основатель,NEUT,0.53
основательница,NEUT,0.49
основательность,PSTV,0.73
основательный,PSTV,0.74
основать,PSTV,0.65
основаться,NEUT,0.37
основный,NEUT,0.27
основополагающий,NEUT,0.28
основоположение,NEUT,0.15
основоположник,NEUT,0.45
основоположный,NEUT,0.34
основывать,NEUT,0.53
основываться,NEUT,0.23
особенность,NEUT,0.41
особенный,PSTV,0.75
особливый,NEUT,0.32
особняк,NEUT,0.47
особнячок,NEUT,0.46
особость,NEUT,0.43
особый,PSTV,0.59
особь,NEUT,0.06
осовременивание,PSTV,0.64
осовременить,NEUT,0.52
осознавать,PSTV,0.82
осознание,PSTV,0.69
осознанность,PSTV,0.87
осознанный,PSTV,0.95
осознать,PSTV,0.76
осока,NEUT,0.08
оспа,NGTV,-1.0
оспаривание,NEUT,-0.32
оспаривать,NEUT,-0.13
оспорить,NGTV,-0.44
осрамить,NGTV,-1.0
осрамиться,NGTV,-1.0
оставаться,NEUT,0.01
оставить,NEUT,0.0
оставление,NEUT,-0.28
оставлять,NEUT,0.16
останавливать,NEUT,-0.11
останавливаться,NEUT,0.1
останки,NGTV,-0.41
остановить,NEUT,0.12
остановиться,NEUT,0.0
остановка,NEUT,0.11
остановочный,NEUT,0.0
остаток,NEUT,0.1
остаточный,NEUT,0.08
остаться,NEUT,0.0
остекленеть,NGTV,-0.41
остекление,NEUT,0.0
остеоартрит,NGTV,-0.91
остеохондроз,NGTV,-0.99
остепенить,NEUT,0.42
остепениться,NEUT,0.52
остепеняться,PSTV,0.62
остервенелость,NGTV,-1.0
остервенелый,NGTV,-1.0
остервенеть,NGTV,-1.0
остервенить,NGTV,-1.0
остерегать,NEUT,0.46
остерегаться,NGTV,-0.46
остеречь,NEUT,0.41
остеречься,NEUT,0.24
остолбенелый,NGTV,-0.37
остолбенение,NGTV,-0.46
остолбенеть,NGTV,-0.35
остолоп,NGTV,-1.0
осторожничать,NEUT,0.35
осторожность,PSTV,0.55
осторожный,PSTV,0.55
осточертеть,NGTV,-1.0
остренький,NEUT,0.36
остренько,NEUT,0.29
остригать,NEUT,-0.02
острить,NGTV,-0.4
остричь,NEUT,0.04
остричься,NEUT,-0.21
остриё,NEUT,-0.32
остров,NEUT,0.1
островерхий,NEUT,-0.11
островитянин,NEUT,0.08
островитянка,NEUT,0.02
островной,NEUT,0.06
островок,NEUT,0.36
остроглазый,PSTV,0.91
остроголовый,NEUT,0.16
острожный,PSTV,0.56
острозаразный,NGTV,-1.0
остроклювый,NEUT,0.08
остроконечный,NEUT,0.0
остролицый,NEUT,0.05
остромодный,NEUT,0.47
остроносый,NEUT,-0.07
острослов,NEUT,0.42
острословие,NEUT,0.45
остросюжетный,PSTV,0.62
острота,NEUT,-0.07
остроугольный,NEUT,-0.08
остроумец,PSTV,0.8
остроумие,PSTV,1.0
остроумный,PSTV,1.0
остроухий,NEUT,0.29
острый,NEUT,-0.23
остряк,NEUT,0.34
острячка,NGTV,-0.35
остудить,NEUT,0.03
остужать,NEUT,0.2
оступаться,NGTV,-0.73
оступиться,NGTV,-0.69
остывание,NEUT,0.0
остывать,NEUT,0.13
остынуть,NEUT,0.12
остыть,NEUT,0.34
осудить,NGTV,-1.0
осуждать,NGTV,-1.0
осуждающе,NGTV,-0.93
осуждение,NGTV,-1.0
осуждённый,NGTV,-1.0
осунуться,NGTV,-0.71
осушать,NEUT,-0.28
осушение,NGTV,-0.44
осушительный,NEUT,-0.24
осушить,NEUT,0.0
осуществимость,PSTV,0.6
осуществимый,PSTV,0.91
осуществить,PSTV,0.55
осуществиться,NEUT,0.52
осуществление,NEUT,0.54
осуществлять,PSTV,0.56
осуществляться,PSTV,0.6
осчастливить,PSTV,1.0
осчастливливать,PSTV,1.0
осыпание,NEUT,-0.07
осыпать,NEUT,0.22
осыпаться,NEUT,-0.31
ось,NEUT,0.0
осьминог,NEUT,0.23
осязаемость,NEUT,0.36
осязание,NEUT,0.37
осязательность,NEUT,0.08
осязательный,NEUT,0.29
осязать,NEUT,0.38
осёл,NEUT,0.11
осётр,NEUT,0.3
от-кутюр,PSTV,0.73
отапливать,PSTV,0.58
отбавлять,NEUT,-0.31
отбарабанить,NEUT,0.07
отбегать,NEUT,0.0
отбежать,NEUT,-0.06
отбеливание,NEUT,0.39
отбеливатель,NEUT,0.29
отбеливать,NEUT,0.41
отбелить,NEUT,0.34
отбивание,NEUT,-0.33
отбивать,NEUT,-0.34
отбиваться,NGTV,-0.39
отбивка,NEUT,0.0
отбивной,NEUT,0.0
отбирание,NGTV,-0.56
отбирать,NGTV,-0.76
отбить,NGTV,-0.54
отбиться,NEUT,0.45
отблагодарить,PSTV,1.0
отблеск,NEUT,0.25
отблёскивать,NEUT,0.1
отбой,NEUT,-0.02
отбойник,NEUT,0.0
отбойный,NEUT,0.0
отболеть,PSTV,0.7
отбомбиться,NGTV,-0.36
отбор,NEUT,0.0
отборнейший,PSTV,1.0
отборный,PSTV,0.92
отборочный,NEUT,0.0
отбраковать,NGTV,-0.52
отбраковывать,NGTV,-0.41
отбрасывание,NEUT,-0.31
отбрасывать,NEUT,-0.27
отбрить,NGTV,-0.37
отброс,NGTV,-1.0
отбросить,NEUT,-0.34
отбрыкиваться,NGTV,-0.78
отбуксировать,NEUT,0.25
отбушевать,NGTV,-0.51
отбывание,NGTV,-0.51
отбывать,NGTV,-0.42
отбытие,NEUT,-0.09
отбыть,NEUT,-0.1
отвага,PSTV,1.0
отвадить,NGTV,-0.44
отваживать,NEUT,0.38
отваживаться,PSTV,0.83
отважиться,PSTV,1.0
отважность,PSTV,1.0
отважный,PSTV,1.0
отвал,NEUT,-0.29
отваливать,NGTV,-0.78
отваливаться,NGTV,-0.6
отвалить,NGTV,-0.91
отвалиться,NGTV,-0.52
отвар,NEUT,0.1
отваривание,NEUT,0.08
отваривать,NEUT,0.1
отварить,NEUT,0.06
отвариться,NEUT,0.17
отварной,NEUT,0.0
отведать,NEUT,0.53
отведение,NEUT,0.01
отведывать,NEUT,0.43
отвезти,NEUT,0.03
отвергать,NGTV,-1.0
отвергнуть,NGTV,-1.0
отвердевать,NEUT,0.0
отвердение,NEUT,0.0
отвердеть,NEUT,-0.03
отверженец,NGTV,-1.0
отвержение,NGTV,-0.9
отверженность,NGTV,-0.8
отверженный,NGTV,-1.0
отвернуть,NEUT,-0.02
отвернуться,NGTV,-0.45
отверстие,NEUT,0.0
отвертеться,NGTV,-0.42
отвес,NEUT,0.11
отвесить,NGTV,-0.48
отвесный,NEUT,0.0
отвести,NEUT,0.18
ответ,NEUT,0.33
ответвление,NEUT,0.0
ответвляться,NEUT,0.1
ответить,NEUT,0.15
ответный,NEUT,0.15
ответственность,PSTV,0.92
ответственный,PSTV,1.0
ответчик,NEUT,0.21
ответчица,NEUT,0.05
отвечать,NEUT,0.45
отвешивать,NGTV,-0.51
отвильнуть,NGTV,-0.63
отвинтить,NEUT,-0.07
отвинчивание,NEUT,0.0
отвинчивать,NEUT,0.0
отвисать,NGTV,-0.37
